Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Pseudonocardia,0.000634537,0.000485592,0.000197674,0.000230863,0.000418282,0.000221304
g__Pseudooceanicola,0.000862641,0.000708885,0.000885971,0.000598408,0.000656273,0.000510344
g__Pseudorhodobacter,0.000541054,0.000406037,0.000450733,0.000317442,0.000363545,0.00026161
g__Pseudorhodoplanes,0.000240549,0.000166383,0.00016214,0.000172816,0.000155683,0.000119128
g__Pseudoruegeria,0.000621921,0.000500334,0.000505057,0.000390866,0.000397451,0.000316851
g__Pseudosulfitobacter,0.000343312,0.000290201,0.00044255,0.00027033,0.00026069,0.000217418
g__Pseudoxanthomonas,0.000210571,0.00016994,8.05E-05,0.000108491,0.000165266,0.000120157
g__Psychrobacter,0.000131073,0.000143382,0.000272834,0.000290747,0.00018431,0.000246562
g__Psychroflexus,0.000393346,0.000608028,0.000204947,0.000168075,0.000589598,0.000342604
g__Psychromarinibacter,0.000757912,0.000640475,0.001049134,0.000936438,0.000590207,0.00062071
g__Psychromonas,0.000176531,0.000149507,0.00013528,0.000152528,0.000156211,0.000121071
g__Psychroserpens,0.000915797,0.000904316,0.000202333,0.000133307,0.000878266,0.000234104
g__Pukyongia,0.003564447,0.00277041,0.00058643,0.000483169,0.001767699,0.000311174
